block_height,block_time_utc,txid,vout,payload_utf8,payload_hex,mempool
965818,2026-09-06T18:30:10+00:00,c103de95817b43f2df635ec6f35ff126ca26a7c6d20570c4b01866b2b3e69a19,0,we are whitehats. contact us on chain,776520617265207768697465686174732e20636f6e74616374207573206f6e20636861696e,https://mempool.space/tx/c103de95817b43f2df635ec6f35ff126ca26a7c6d20570c4b01866b2b3e69a19
965822,2026-09-06T19:31:47+00:00,91271efcbb5ab29abfc38ae635f0644e3ba042aad56f92d40136e1dde4742fe8,1,Please contact security@blockstream.com,506c6561736520636f6e7461637420736563757269747940626c6f636b73747265616d2e636f6d,https://mempool.space/tx/91271efcbb5ab29abfc38ae635f0644e3ba042aad56f92d40136e1dde4742fe8
965829,2026-09-06T20:38:14+00:00,4eed30c076247fc1cb5e02f1d8a33de7a9823981c3ca8a36e10dd57bd027b0d6,1,Please contact us on Signal @m671aw.70,506c6561736520636f6e74616374207573206f6e205369676e616c20406d36373161772e3730,https://mempool.space/tx/4eed30c076247fc1cb5e02f1d8a33de7a9823981c3ca8a36e10dd57bd027b0d6
965830,2026-09-06T20:58:16+00:00,fc3a7edf5a73c0c6149d466ac704a9859741ca1ab65762453caf19cc79e97d28,1,"All the support from BuyBitcoinLeb.com to ""Liquid Network & Samson Mow"".",416c6c2074686520737570706f72742066726f6d20427579426974636f696e4c65622e636f6d20746f20224c6971756964204e6574776f726b20262053616d736f6e204d6f77222e,https://mempool.space/tx/fc3a7edf5a73c0c6149d466ac704a9859741ca1ab65762453caf19cc79e97d28
965841,2026-09-06T22:31:42+00:00,2248fb12e68c42263a8af449f48db52b4fe860804fb327091a9db7a6ad6dd5b0,1,That's why we say: never use custodial services. - Aperture Wallet,54686174277320776879207765207361793a206e657665722075736520637573746f6469616c2073657276696365732e202d2041706572747572652057616c6c6574,https://mempool.space/tx/2248fb12e68c42263a8af449f48db52b4fe860804fb327091a9db7a6ad6dd5b0
965841,2026-09-06T22:31:42+00:00,44f57fe1e52866593efa954c6cb953d733fe02b0d25ea85f449bf851905abb7c,1,"Not your keys, not your coins. Get @ApertureApp on the App Store.",4e6f7420796f7572206b6579732c206e6f7420796f757220636f696e732e2047657420404170657274757265417070206f6e20746865204170702053746f72652e,https://mempool.space/tx/44f57fe1e52866593efa954c6cb953d733fe02b0d25ea85f449bf851905abb7c
965843,2026-09-06T22:43:06+00:00,d413e0fedde9a33e96f6cbd90fd84801977fce578c164246f23346586b7d1a9a,2,,00db8839a00280c8afa02500000080b8a1f48f7401,https://mempool.space/tx/d413e0fedde9a33e96f6cbd90fd84801977fce578c164246f23346586b7d1a9a
965848,2026-09-06T23:08:43+00:00,82d2445a4d7cc584b22c487dfb29773b68054413d989e62413d4c9f120841ea0,0,NY lawyer @btclawyerguy. pro bono counsel for a clean return. reply on chain,4e59206c617779657220406274636c61777965726775792e2070726f20626f6e6f20636f756e73656c20666f72206120636c65616e2072657475726e2e207265706c79206f6e20636861696e,https://mempool.space/tx/82d2445a4d7cc584b22c487dfb29773b68054413d989e62413d4c9f120841ea0
965848,2026-09-06T23:08:43+00:00,ef651b5d85a17cd79d8b33feaeb55e85b6a50106100ba184d802524ee8144a7f,1,Aperture Wallet lets you send OP_RETURN messages.,41706572747572652057616c6c6574206c65747320796f752073656e64204f505f52455455524e206d657373616765732e,https://mempool.space/tx/ef651b5d85a17cd79d8b33feaeb55e85b6a50106100ba184d802524ee8144a7f
965865,2026-09-07T01:49:49+00:00,bd81219691eb1e22475c5985d847fa888c38f1b6d2cb2b7193f54d0cfa72394c,1,,456e6372797074656420746f20746865206b657920626568696e6420626331716c346d66753661756e64746b6b73786b6c66616a7332683374396e7a6364366779716a6c74652028456c65637472756d2042494531204543494553293a0a0a516b6c464d514c61536d436d3571654e7678634a6e6156474b7149567a483559336f4c324f7242596179664d6567786a784c5745417a6f5136355063717a676b57646a2b334b7951424f656c354a444b476941777674356a775a6a73726368304367444e4d72717a73565742664d443567644d7937396e6765616e6b4934726f67375639706b6f3d0a0a4465746163686564207369676e617475726520627920736563757269747940626c6f636b73747265616d2e636f6d2e205075626c6963206b65793a2068747470733a2f2f626c6f636b73747265616d2e636f6d2f7067702e7478740a0a46696e6765727072696e743a20313137362035343244204139384520373145312033333732203245463720344143382043433838203638343420413244360a0a5665726966793a20677067202d2d696d706f7274207067702e74787420262620677067202d2d766572696679206d73672e617363206d73672e6236340a0a2d2d2d2d2d424547494e20504750205349474e41545552452d2d2d2d2d0a0a6951497a42414142436741644669454545585a554c616d4f6365457a6369373353736a4d694768456f745946416d7165442b734143676b5153736a4d694768450a0a6f74596966672f2f585a46783857514751687a7a41576f434f474a47696f334f377367314d50625a7968615937414a4e47757a53647273576e726a6f44614a2b0a0a35517930414648724a5079394b4e517751616b497477317030315359504e44554a5763306f566a6177306b6e57663574762f7667592f722b43703761784563770a0a424f3830776355567450657947494758335745316b39766a464f6c366f662b306e49577438576a3435786f394576754e5a7031304a724a6c754856734a6544390a0a433565716579486f6a50475245307674566f6355647173534a73514262307a782b313633426e5a6e32775a554d52467a43512b6248636c66434e796f566a74500a0a6641566979524f734854772f646764526c47325a4d6b574f7942674f344e6d6a384967617650464452672b37547775715467634d34693976432f796f343632620a0a35354b38644a7477705a4a42443574636735632f566b48627a432b482f6466585941574d68494171774276376b4c52337878382f35345258664a4c656b68546e0a0a31506769473374383461422f574a53517472446b3351707676504a4a4e5259324f5869694e784c4b4d6b733032746a704a455236696c6a425875574f6752756e0a0a2f7674324e74393379336c7a423567544a4d377967784d4932463672666f31715763454e65506a416f546d36544a7a4e5a33656f59576f59592f7942506178790a0a4c7079736275467a5039706652442f306f6834427357586e3137362b506e4e4f475a2b43306c5a62347765684b644c346755616f46517a2b6552307a677672380a0a2b326a6a4c6a7a3471774d6c31655656315630686a766a4f6c5474456d316b504964504b33486748773165375331426c4d47694e4d4555706235315a386d35350a0a464b4e694c303034366f793053706c5a443756664946527a5251364959486f7359434f79593564566141725159447150656e303d0a0a3d4841636b0a0a2d2d2d2d2d454e4420504750205349474e41545552452d2d2d2d2d,https://mempool.space/tx/bd81219691eb1e22475c5985d847fa888c38f1b6d2cb2b7193f54d0cfa72394c
965868,2026-09-07T02:04:19+00:00,132f99507de891d90d579f1cf2ab756264759b55b2823ef4b54d39703439f90e,1,"Swap to XMR at wagyu.xyz. No freezes, $700M+ done. Tip this address for the tip",5377617020746f20584d522061742077616779752e78797a2e204e6f20667265657a65732c20243730304d2b20646f6e652e205469702074686973206164647265737320666f722074686520746970,https://mempool.space/tx/132f99507de891d90d579f1cf2ab756264759b55b2823ef4b54d39703439f90e
965868,2026-09-07T02:04:19+00:00,54cf9b0a9afe53dbb6258c9f441b57b75e08a84f84b00b1cd1a6d3c82f8a7a7c,0,exch.lat/?ref=a3e0e  The biggest one to launder money,657863682e6c61742f3f7265663d613365306520205468652062696767657374206f6e6520746f206c61756e646572206d6f6e6579,https://mempool.space/tx/54cf9b0a9afe53dbb6258c9f441b57b75e08a84f84b00b1cd1a6d3c82f8a7a7c
965869,2026-09-07T02:20:18+00:00,3a3eac4a26395b8c2563aaf1eb8b1b77798c81c7d6337f51321827a244a480aa,0,"sending most back to bc1qdlld6antmv4xug242ed83q7k4rqw50cwfns38szx4qu2f4jwaxxsuhwxxr, is that ok",73656e64696e67206d6f7374206261636b20746f2062633171646c6c6436616e746d76347875673234326564383371376b3472717735306377666e733338737a783471753266346a77617878737568777878722c2069732074686174206f6b,https://mempool.space/tx/3a3eac4a26395b8c2563aaf1eb8b1b77798c81c7d6337f51321827a244a480aa
965869,2026-09-07T02:20:18+00:00,ea55f4ee2df3fb427d6831266650788ee52a5bd991b42ed3dd0e087b233a4d1d,1,"Swap to XMR at wagyu.xyz. No freezes, $700M+ done. Tip this address for the tip",5377617020746f20584d522061742077616779752e78797a2e204e6f20667265657a65732c20243730304d2b20646f6e652e205469702074686973206164647265737320666f722074686520746970,https://mempool.space/tx/ea55f4ee2df3fb427d6831266650788ee52a5bd991b42ed3dd0e087b233a4d1d
965869,2026-09-07T02:20:18+00:00,f796df42a17a6a7fc49304fc2e09c70dcbb47a5e358be870ebcac4a035749ca2,0,exch.lat ,657863682e6c617420,https://mempool.space/tx/f796df42a17a6a7fc49304fc2e09c70dcbb47a5e358be870ebcac4a035749ca2
965872,2026-09-07T02:39:32+00:00,46c1ade2813326663fccdb8b5cec356c7427b5d6ff6fa8a5c99b34b8d505031a,1,,5377617020796f75722066756e647320746f20584d52206f6e2057616779752e78797a2c2067756172616e74656564206e6f20667265657a65730a0a4974e280997320746865206f6e6c7920706c61636520796f752063616e207377617020737563682073697a652c2070656f706c65206861766520646f6e6520243730306d2b0a0a47697665206d79206164647265737320612074697020666f722074686520616476696365,https://mempool.space/tx/46c1ade2813326663fccdb8b5cec356c7427b5d6ff6fa8a5c99b34b8d505031a
965874,2026-09-07T03:13:15+00:00,794e35d5a5f76eec68c72cb9a1189ed8a75ef50ca28468311aa94f5a869757f0,0,    Our boss's official memecoin is live! 🚀 📍 CA: bc1ql4mfu6aundtkksxklfajs2h3t9nzcd6gyqjlte Full transparency and 100% legit. I just picked up 0.5 SOL — now let's send this together! 💥 ⚠️ Risk Warning: Memecoins involve high risk of loss and are not suitable for all investors. (FAN TOKEN NOT OFFICIAL),202020204f757220626f73732773206f6666696369616c206d656d65636f696e206973206c6976652120f09f9a8020f09f938d2043413a20626331716c346d66753661756e64746b6b73786b6c66616a7332683374396e7a6364366779716a6c74652046756c6c207472616e73706172656e637920616e642031303025206c656769742e2049206a757374207069636b656420757020302e3520534f4c20e28094206e6f77206c657427732073656e64207468697320746f6765746865722120f09f92a520e29aa0efb88f205269736b205761726e696e673a204d656d65636f696e7320696e766f6c76652068696768207269736b206f66206c6f737320616e6420617265206e6f74207375697461626c6520666f7220616c6c20696e766573746f72732e202846414e20544f4b454e204e4f54204f4646494349414c29,https://mempool.space/tx/794e35d5a5f76eec68c72cb9a1189ed8a75ef50ca28468311aa94f5a869757f0
